,cognitive_process_dimension_level,knowledge_dimension_level,Analyzing,Understanding,Evaluating,Applying,Remembering,Creating,conceptual_knowledge,factual_knowledge,procedural_knowledge,metacognitive_knowledge,bloom_todo
10066,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10067,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10068,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10069,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10070,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10071,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10072,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10073,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10074,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10075,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10076,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10077,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10078,"Analyzing, Creating",Conceptual Knowledge,1,0,0,0,0,1,0,0,0,0,0
10079,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10080,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10081,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10082,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10083,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10084,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10085,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10086,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10087,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10088,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10089,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10090,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10091,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10092,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10093,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10094,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
10095,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10096,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10097,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10098,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10099,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10100,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10101,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10102,"Remembering.0, Understanding.0","Factual Knowledge.0, Conceptual Knowledge.0",0,1,0,0,1,0,0,0,0,0,0
10103,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10104,Evaluating,Factual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10105,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10106,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10107,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10108,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10109,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10110,Applying,Factual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10111,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10112,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10113,Applying,Factual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10114,"Understanding, Analyzing",Factual Knowledge,1,1,0,0,0,0,0,0,0,0,0
10115,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10116,"Understanding, Creating",Factual Knowledge,0,1,0,0,0,1,0,0,0,0,0
10117,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10118,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10119,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10120,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10121,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10122,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10123,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10124,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10125,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10126,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10127,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10128,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
